tag,length,average_ratio,point
random,8,0.3212890625,90
random,9,0.32542438271604945,90
random,10,0.33765624999999977,90
random,11,0.3314178719008263,90
random,12,0.3280707465277777,90
random,13,0.3328402366863906,90
random,14,0.33071588010204067,90
random,15,0.3347916666666668,90
random,16,0.325225830078125,90
random,17,0.33442365916955014,90
random,18,0.3343219521604937,90
random,19,0.33078687673130175,90
random,20,0.32958984374999994,90
random,21,0.33016227324263064,90
random,22,0.3253486570247933,90
random,23,0.33248168714555787,90
random,24,0.3330213758680557,90
random,25,0.3337750000000001,90
random,26,0.32659948224852037,90
random,27,0.3290573559670784,90
random,28,0.32920121173469374,90
random,29,0.3310419143876336,90
random,30,0.3344704861111111,90
random,31,0.3336937434963578,90
random,32,0.330780029296875,90
random,33,0.32988980716253424,90
random,34,0.3301524653979238,90
random,35,0.33278698979591836,90
random,36,0.33045789930555547,90
random,37,0.33163463294375434,90
random,38,0.3331133137119115,90
random,39,0.3291933760683761,90
random,40,0.3311035156250001,90
random,41,0.3290359161213562,90
random,42,0.3339710884353741,90
random,43,0.328006692806923,90
random,44,0.33101029829545453,90
random,45,0.32928626543209855,90
random,46,0.329838137996219,90
random,47,0.3326908386147578,90
random,48,0.3324449327256943,90
random,49,0.33308387130362344,90
random,50,0.3345812499999999,90
random,51,0.3306210351787776,90
random,52,0.3370469674556214,90
random,53,0.3323580455678179,90
random,54,0.33120338220164597,90
random,55,0.3310640495867771,90
random,56,0.3313461615114798,90
random,57,0.3319242459218221,90
random,58,0.33037771254458986,90
random,59,0.3291439241597242,90
random,60,0.33519097222222216,90
random,61,0.33257188927707604,90
random,62,0.3307081653225808,90
random,63,0.3338982583774252,90
random,64,0.33432960510253906,96
random,65,0.33016087278106504,96
random,66,0.32844245006887063,96
random,67,0.3299036533749164,96
random,68,0.3310208964100347,96
random,69,0.32974132272631795,96
random,70,0.332452168367347,96
random,71,0.3305845194405874,96
random,72,0.3299545476466048,96
random,73,0.33165081394257817,96
random,74,0.3306545037436086,96
random,75,0.32988888888888895,96
random,76,0.32928145559210514,96
random,77,0.3322308778883455,96
random,78,0.3319593400723209,96
random,79,0.3308989945521552,96
random,80,0.32800292968750017,96
random,81,0.33019690214906267,96
random,82,0.33081475870017857,96
random,83,0.3321599651618523,96
random,84,0.32991425736961466,96
random,85,0.3307515138408304,96
random,86,0.33130978738507294,96
random,87,0.3323021948077686,96
random,88,0.3335223237345042,96
random,89,0.33218955150864793,96
random,90,0.330178433641975,96
random,91,0.3326911755826589,96
random,92,0.329802139945652,96
random,93,0.33126120071684584,96
random,94,0.3317492007129923,96
random,95,0.32993507617728507,96
random,96,0.33124796549479174,96
random,97,0.3314072629928791,96
random,98,0.3318831997084548,96
random,99,0.33165461432506893,96
random,100,0.3334242187500001,96
random,101,0.3337502144397611,96
random,102,0.33296763864859663,96
random,103,0.33217889881232915,96
random,104,0.33124248798076916,96
random,105,0.33276927437641696,96
random,106,0.3314541429334281,96
random,107,0.3315252696742073,96
random,108,0.332357440629287,96
random,109,0.33120370760037027,96
random,110,0.3316871126033059,96
random,111,0.3340175056813571,96
random,112,0.3316307846380738,96
random,113,0.3305527547184589,96
random,114,0.3302987457679284,96
random,115,0.33230801039697566,96
random,116,0.32987027162604043,96
random,117,0.3311674747972826,96
random,118,0.3312631293091065,96
random,119,0.33093421192006217,96
random,120,0.33068413628472215,96
random,121,0.33082930639983577,96
random,122,0.33093055042327346,96
random,123,0.3305386178861789,96
random,124,0.33162883714880337,96
random,125,0.331197,96
random,126,0.32963277903754107,96
random,127,0.3335441983383965,96
random,128,0.3314990997314453,97
random,129,0.33178031668769886,97
random,130,0.3300208025147929,97
random,131,0.3320505980129363,97
random,132,0.33347098470500436,97
random,133,0.33057797218610446,97
random,134,0.3321717845010026,97
random,135,0.3308217592592593,97
random,136,0.3326775045955883,97
random,137,0.33161271578134166,97
random,138,0.3309695639046419,97
random,139,0.33241963084208886,97
random,140,0.33167689732142824,97
random,141,0.33020573977667106,97
random,142,0.33203434958341616,97
random,143,0.328984990097315,97
random,144,0.3308938108844521,97
random,145,0.33238183709869223,97
random,146,0.3336054049774817,97
random,147,0.3309883902540609,97
random,148,0.33087706583272464,97
random,149,0.33070863925048416,97
random,150,0.33063715277777767,97
random,151,0.3312502055830884,97
random,152,0.33105198234072025,97
random,153,0.3305219146482122,97
random,154,0.32991868622448955,97
random,155,0.33097196930280975,97
random,156,0.3307869514299803,97
random,157,0.3328136410199197,97
random,158,0.33125419353869556,97
random,159,0.3308728640085439,97
random,160,0.33147521972656224,97
random,161,0.33007895384051555,97
random,162,0.3323182203551288,97
random,163,0.33093578277315666,97
random,164,0.3319017000669247,97
random,165,0.33113320707070704,97
random,166,0.33019408205109607,97
random,167,0.33198320798522724,97
random,168,0.3324182211947279,97
random,169,0.330933681418718,97
random,170,0.3313819204152246,97
random,171,0.3324075677131428,97
random,172,0.3296719721809086,97
random,173,0.3309321644558789,97
random,174,0.3321569167822696,97
random,175,0.33105561224489843,97
random,176,0.33186554711712307,97
random,177,0.3322470793833191,97
random,178,0.3310089477338721,97
random,179,0.3318438680128586,97
random,180,0.33081766010802494,97
random,181,0.33087908450596737,97
random,182,0.3335982784385946,97
random,183,0.3328522985159308,97
random,184,0.3302516540642721,97
random,185,0.33123813002191393,97
random,186,0.33114490295120824,97
random,187,0.3292159216019903,97
random,188,0.33166741526143045,97
random,189,0.3306635540018475,97
random,190,0.33123117209141256,97
random,191,0.33103661837668935,97
random,192,0.3309756384955511,98
random,193,0.3313130050471153,98
random,194,0.33077787889254967,98
random,195,0.3324665105193951,98
random,196,0.33322744754789685,98
random,197,0.33249878410935596,98
random,198,0.33156434132996665,98
random,199,0.3324848962147421,98
random,200,0.3304697265625002,98
random,201,0.3321523987648819,98
random,202,0.3315801606460152,98
random,203,0.3311130077774272,98
random,204,0.3319343822087657,98
random,205,0.3311131766805471,99
random,206,0.3318379441983221,99
random,207,0.33236408667646844,99
random,208,0.33042916743713036,99
random,209,0.3305997959639205,99
random,210,0.329624787414966,99
random,211,0.33182971238292047,99
random,212,0.3329172484091314,99
random,213,0.3320947053604887,99
random,214,0.33159657775788276,99
random,215,0.3329313142239049,99
random,216,0.3315707652820647,99
random,217,0.3314435165325235,99
random,218,0.3313053010058075,99
random,219,0.331355000677634,99
random,220,0.33011896306818156,99
random,221,0.3313769425277944,99
random,222,0.32981387214917646,99
random,223,0.33185678879527053,99
random,224,0.3329069176498726,99
random,225,0.3309604938271604,99
random,226,0.33196792524864904,99
random,227,0.3312441477129384,99
random,228,0.33324992425554023,99
random,229,0.3316505394157245,99
random,230,0.3307837606332702,100
random,231,0.33324665954536115,100
random,232,0.33071503883026143,100
random,233,0.3319858477315847,100
random,234,0.3317578781320769,100
random,235,0.33118393503847876,100
random,236,0.33265853921286975,100
random,237,0.3316171119745765,100
random,238,0.3304960311330415,100
random,239,0.33218778448381503,100
random,240,0.33193291558159715,100
random,241,0.33152354040047516,100
random,242,0.33135917543200577,100
random,243,0.3302660978594052,100
random,244,0.3325713643845742,100
random,245,0.33193838504789663,100
random,246,0.33139544190792514,100
random,247,0.33012073526037156,100
random,248,0.3315348391974504,100
random,249,0.33134458012774,100
random,250,0.33063687500000005,100
random,251,0.3313968974698816,100
random,252,0.3311302240803728,100
random,253,0.3318780122717117,100
random,254,0.33010270708041434,100
random,255,0.33093954248366,100
